run,repeat,problem,seed,selected_feature_count,modeler_selected_features,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,fi_all_real_included,fi_real_only_success,modeler_metadata,run_root
53,18,goldstein_price,17044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_134905_127907_2c89\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_134905_127907_2c89
54,19,goldstein_price,18044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_135132_919546_cdb2\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_135132_919546_cdb2
55,20,goldstein_price,19044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_135423_134652_766c\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_135423_134652_766c
56,21,goldstein_price,20044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_135731_501290_ed76\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_135731_501290_ed76
57,22,goldstein_price,21044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_140040_299861_8725\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_140040_299861_8725
58,23,goldstein_price,22044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_140359_889968_284a\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_140359_889968_284a
59,24,goldstein_price,23044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_140642_925280_c345\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_140642_925280_c345
60,25,goldstein_price,24044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_140923_668274_ae9f\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_140923_668274_ae9f
61,26,goldstein_price,25044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_141204_754894_bb40\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_141204_754894_bb40
62,27,goldstein_price,26044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_141456_276364_9127\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_141456_276364_9127
63,28,goldstein_price,27044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_141737_853243_2641\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_141737_853243_2641
64,29,goldstein_price,28044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_142008_113132_a5dc\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_142008_113132_a5dc
65,30,goldstein_price,29044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_142323_140097_9aa7\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_142323_140097_9aa7
66,31,goldstein_price,30044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_142610_167562_0fd7\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_142610_167562_0fd7
67,32,goldstein_price,31044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_142858_398168_77e0\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_142858_398168_77e0
68,33,goldstein_price,32044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_143138_841734_d406\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_143138_841734_d406
69,34,goldstein_price,33044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_143417_469387_65d9\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_143417_469387_65d9
